"Volume","No1","No2","No3","No4","No5","No6","Special"
091099,26,24,11,30,39,14,41
091098,11,18,22,23,25,41,31
091097,20,37,30,39,24,10,19
091096,10,11,14,40,13,16,32
091095,13,35,21,28,30,8,27
091094,11,4,1,39,18,13,10
091093,42,41,1,25,10,18,11
091092,34,27,33,19,41,4,11
091091,19,40,33,39,20,7,5
091090,9,13,21,18,26,12,3
091089,42,23,20,36,35,12,7
091088,20,34,41,32,11,30,39
091087,37,32,40,31,33,3,30
091086,18,38,41,24,21,9,32
091085,13,11,32,25,41,31,21
091084,37,14,27,32,4,26,12
091083,6,40,4,21,7,26,35
091082,30,39,9,41,10,34,26
091081,5,12,11,33,40,25,1
091080,1,10,24,34,39,41,42
091079,8,15,41,34,7,19,33
091078,19,29,35,20,7,32,30
091077,1,6,38,14,30,9,34
091076,40,5,2,37,28,23,29
091075,17,15,37,22,33,28,41
091074,23,40,32,28,22,7,25
091073,39,8,26,17,25,2,13
091072,34,11,42,17,40,41,33
091071,30,20,15,31,35,22,14
091070,18,3,11,20,40,28,12
091069,11,16,19,24,32,41,39
091068,23,16,20,8,14,7,13
091067,15,8,7,1,26,21,10
091066,14,39,34,3,38,42,26
091065,23,34,30,31,41,24,42
091064,38,28,8,17,21,9,15
091063,36,4,15,24,10,18,1
091062,42,20,35,29,8,38,31
091061,31,12,13,34,28,17,27
091060,27,24,10,33,21,12,7
091059,22,4,31,17,12,3,7
091058,17,35,29,33,40,4,12
091057,3,13,30,34,38,40,35
091056,26,33,34,16,30,22,3
091055,3,8,9,17,21,42,41
091054,27,9,2,1,39,37,26
091053,5,7,18,19,26,29,33
091052,1,2,8,20,29,40,17
091051,8,19,20,15,12,1,17
091050,11,12,15,23,37,38,31
091049,1,5,19,18,9,31,37
091048,12,27,28,25,8,17,30
091047,6,12,13,22,32,33,25
091046,37,41,12,4,5,39,27
091045,4,8,11,26,33,39,37
091044,28,2,6,37,1,21,31
091043,30,37,9,35,13,32,28
091042,4,14,20,15,11,41,10
091041,29,21,13,27,41,23,17
091040,13,18,19,28,34,38,9
091039,26,10,5,42,16,27,3
091038,24,14,11,8,36,31,23
091037,41,27,39,19,18,34,40
091036,34,6,22,10,27,19,7
091035,3,4,32,35,12,19,29
091034,21,32,14,23,27,2,35
091033,9,27,18,36,20,2,4
091032,42,30,17,27,15,7,5
091031,26,41,33,21,37,25,20
091030,36,18,17,7,15,28,8
091029,11,23,31,33,36,37,34
091028,19,15,34,33,22,23,20
091027,18,2,1,7,8,4,9
091026,24,9,27,5,39,6,15
091025,10,21,29,17,22,12,25
091024,15,36,12,24,14,39,1
091023,20,26,21,6,37,36,27
091022,27,37,7,10,17,14,28
091021,13,20,26,30,32,37,4
091020,22,31,34,25,21,19,13
091019,5,18,25,26,35,42,29
091018,32,21,9,27,31,6,2
091017,5,25,2,16,32,9,7
091016,15,29,5,36,13,10,1
091015,36,16,12,26,8,34,5
091014,4,40,27,21,14,5,12
091013,4,10,14,23,29,39,36
091012,12,20,30,32,35,40,34
091011,40,6,20,29,38,35,41
091010,2,10,15,23,30,32,36
091009,7,12,19,20,24,36,26
091008,1,6,7,12,20,42,35
091007,20,25,29,37,38,39,28
091006,2,4,15,16,29,33,39
091005,1,3,11,15,17,39,34
091004,13,25,28,29,30,39,21
091003,7,9,29,34,36,39,16
091002,6,16,28,30,31,35,2
091001,4,9,10,13,32,33,37
