"Year","Month","Day","SN","No1","No2","No3","No4","No5","No6","NoS","TSN"
2006,01,03,1,17,22,08,18,13,02,16,413
2006,01,06,2,05,20,18,21,29,17,33,414
2006,01,10,3,23,36,11,05,17,03,34,415
2006,01,13,4,14,29,36,01,37,11,31,416
2006,01,17,5,28,14,32,10,13,01,22,417
2006,01,20,6,06,19,25,20,29,01,33,418
2006,01,24,7,31,13,08,06,35,03,24,419
2006,01,27,8,01,29,36,21,23,37,35,420
2006,01,31,9,15,37,12,25,22,02,10,421
2006,02,03,10,01,13,12,08,34,35,10,422
2006,02,07,11,09,17,26,28,33,31,37,423
2006,02,10,12,17,22,24,14,15,19,26,424
2006,02,14,13,07,35,01,32,10,30,12,425
2006,02,17,14,08,14,18,05,33,20,06,426
2006,02,21,15,09,06,04,22,11,12,03,427
2006,02,24,16,21,38,01,35,25,28,02,428
2006,02,28,17,01,03,21,34,35,38,27,429
2006,03,03,18,22,19,37,31,18,06,08,430
2006,03,07,19,23,26,24,37,31,15,20,431
2006,03,10,20,08,15,07,19,29,09,12,432
2006,03,14,21,35,06,37,18,08,11,22,433
2006,03,17,22,05,17,01,26,31,04,16,434
2006,03,21,23,35,14,22,10,24,09,02,435
2006,03,24,24,33,32,25,18,38,04,23,436
2006,03,27,25,03,07,13,26,29,37,16,437
2006,03,29,26,26,17,08,20,31,25,24,438
2006,03,31,27,28,10,14,15,03,21,35,439
2006,04,03,28,08,36,29,35,17,06,25,440
2006,04,05,29,38,10,16,30,27,08,15,441
2006,04,07,30,33,12,32,37,38,16,29,442
2006,04,10,31,12,10,25,09,13,33,14,443
2006,04,12,32,13,23,21,12,35,14,10,444
2006,04,14,`33,10,09,02,27,26,22,06,445
2006,04,17,34,31,29,36,03,38,09,32,446
2006,04,19,35,23,36,37,14,16,22,21,447
2006,04,21,36,26,18,34,20,19,14,30,448
2006,04,24,37,12,07,25,38,04,16,08,449
2006,04,26,38,35,26,10,37,18,30,38,450
2006,04,28,39,29,12,34,25,06,38,15,451
2006,05,01,40,30,10,26,13,33,02,38,452
2006,05,03,41,03,34,02,38,22,11,24,453
2006,05,05,42,15,28,21,20,04,17,14,454
2006,05,08,43,13,08,25,17,38,30,15,455
2006,05,10,44,32,03,12,11,06,18,02,456
2006,05,12,45,25,06,36,13,34,12,37,457
2006,05,15,46,08,05,33,28,16,14,17,458
2006,05,17,47,32,04,08,20,24,03,11,459
2006,05,19,48,23,33,24,20,17,03,07,460
2006,05,22,49,31,08,35,02,23,03,16,461
2006,05,24,50,35,04,25,20,18,26,11,462
2006,05,26,51,31,30,17,22,13,04,08,463
2006,05,29,52,18,04,29,14,33,34,26,464
2006,05,31,53,25,22,38,02,08,12,37,465
2006,06,02,54,17,07,21,25,20,03,16,466
2006,06,05,55,28,19,33,02,25,31,11,467
2006,06,07,56,23,05,07,16,10,34,33,468
2006,06,09,57,34,01,23,14,29,31,07,469
2006,06,12,58,23,09,19,26,17,07,16,470
2006,06,14,59,29,37,38,15,11,27,04,471
2006,06,16,60,08,07,05,27,06,15,13,472
2006,06,19,61,16,23,15,14,36,01,12,473
2006,06,21,62,19,17,12,11,33,07,34,474
2006,06,23,63,33,28,12,10,23,22,03,475
2006,06,26,64,32,20,25,02,23,34,24,476
2006,06,28,65,06,32,04,09,16,19,08,477
2006,06,30,66,37,18,34,32,05,01,27,478
2006,07,03,67,05,06,30,28,13,37,27,479
2006,07,05,68,22,08,13,21,24,27,02,480
2006,07,07,69,32,34,37,23,20,30,01,481
2006,07,10,70,05,27,12,19,11,08,01,482
2006,07,12,71,22,21,23,05,20,08,01,483
2006,07,14,72,22,14,28,19,32,23,02,484
