"SN","Year","Month","Day","No1","No2","No3","No4","No5","No6","NoS","2y","2m","2d"
91099,91,12,31,11,14,24,26,30,39,41,92,3,1  
91098,91,12,27,11,18,22,23,25,41,31,92,3,31  
91097,91,12,24,10,20,24,30,37,39,19,92,3,24  
91096,91,12,20,10,11,13,14,16,40,32,92,3,24  
91095,91,12,17,8,13,21,28,30,35,27,92,3,17  
91094,91,12,13,1,4,11,13,18,39,10,92,3,17  
91093,91,12,10,1,10,18,25,41,42,11,92,3,10  
91092,91,12,6,4,19,27,33,34,41,11,92,3,10  
91091,91,12,3,7,19,20,33,39,40,5,92,3,3  
91090,91,11,29,9,12,13,18,21,26,3,92,2,3  
91089,91,11,26,12,20,23,35,36,42,7,92,2,26  
91088,91,11,22,11,20,30,32,34,41,39,92,2,24  
91087,91,11,19,3,31,32,33,37,40,30,92,2,19  
91086,91,11,15,9,18,21,24,38,41,32,92,2,17  
91085,91,11,12,11,13,25,31,32,41,21,92,2,12  
91084,91,11,8,4,14,26,27,32,37,12,92,2,10  
91083,91,11,5,4,6,7,21,26,40,35,92,2,5  
91082,91,11,1,9,10,30,34,39,41,26,92,2,3  
91081,91,10,29,5,11,12,25,33,40,1,92,1,29  
91080,91,10,25,1,10,24,34,39,41,42,92,1,27  
91079,91,10,22,7,8,15,19,34,41,33,92,1,22  
91078,91,10,18,7,19,20,29,32,35,30,92,1,20  
91077,91,10,15,1,6,9,14,30,38,34,92,1,15  
91076,91,10,11,2,5,23,28,37,40,29,92,1,13  
91075,91,10,8,15,17,22,28,33,37,41,92,1,8  
91074,91,10,4,7,22,23,28,32,40,25,92,1,6  
91073,91,10,1,2,8,17,25,26,39,13,92,1,2  
91072,91,9,27,11,17,34,40,41,42,33,91,12,30  
91071,91,9,24,15,20,22,30,31,35,14,91,12,24  
91070,91,9,20,3,11,18,20,28,40,12,91,12,23  
91069,91,9,17,11,16,19,24,32,41,39,91,12,17  
91068,91,9,13,7,8,14,16,20,23,13,91,12,16  
91067,91,9,10,1,7,8,15,21,26,10,91,12,10  
91066,91,9,6,3,14,34,38,39,42,26,91,12,9  
91065,91,9,3,23,24,30,31,34,41,42,91,12,3  
