2006.10.25

[Test Data: Concentric ring2]
100 points in 3-D space. Data points are generated in sphere-coordinate, P=(rho,phi,theta), and then transformed into Cartesian coordinate P'=(x,y,z). (See wkipedia for more details))

class       rho             phi         theta
0     abs(norm(1,0.5))  unif[0,pi] unif[0,2*pi]
1     abs(norm(2,0.5))  unif[0,pi] unif[0,2*pi]

So, only rho=sqrt(x^2+y^2+z^2) have significant influence on the class label.

[Data]

           x.1         x.2           x.3 class
[1,]  0.328127470 -0.287029388 -0.58529027    0
[2,]  0.905011058  1.730971673  0.28418549    0
[3,]  0.931073655 -0.419009398  0.10881739    0
[4,] -0.061628492 -1.137143082 -0.29272354    0
[5,] -0.530660166  0.218711062  0.33487475    0
[6,]  0.099341337 -0.782228036 -0.82189954    0
[7,]  0.215356186  0.420234022  1.26001023    0
[8,] -0.148608139  0.238965154 -1.38357013    0
[9,] -0.623675016 -0.732862772  1.83557420    0
[10,] -0.091325114  0.146039500 -0.02060871    0
[11,]  0.434112115  0.312031977  0.93239967    0
[12,] -0.075630194 -0.299646157 -0.11206457    0
[13,] -0.976857417  0.781502379  0.25464243    0
[14,] -1.215841017 -0.393832910 -1.26039064    0
[15,] -0.229224729 -0.094684902 -0.66160269    0
[16,] -0.006435718  0.034645833  0.07604334    0
[17,]  0.538648911  1.334412640 -0.12057198    0
[18,]  1.197868301  0.794820785 -1.07780393    0
[19,] -0.670879949  0.211059293  1.04355806    0
[20,]  0.033222804 -0.047577956  0.34735023    0
[21,]  0.340546618  0.968881687  0.02564310    0
[22,] -0.333498650 -0.433382668 -0.26500453    0
[23,]  0.240490678  0.364976769 -0.18678519    0
[24,]  1.538003123 -1.516998601  0.14695272    0
[25,]  0.378595663  0.809448166  1.44777760    0
[26,] -1.124191711 -0.893621201  0.31993607    0
[27,]  0.553001401  0.065782971  1.29876712    0
[28,] -0.297948837  0.396903331 -0.32680765    0
[29,] -0.490617098  0.179863100 -1.12245067    0
[30,] -1.248419677 -0.812849689 -0.25044817    0
[31,]  0.884984868 -0.616697654 -0.76550551    0
[32,] -0.854855022 -0.794390813  0.97639480    0
[33,] -0.790651350  0.058302042 -0.30043692    0
[34,]  0.971957518 -2.013582474 -0.10915468    0
[35,]  1.161070470  0.092519981  0.92216782    0
[36,]  1.658896417 -0.992950428 -0.02694716    0
[37,] -0.343760342 -1.245304470 -0.34058530    0
[38,] -0.388241710 -0.168264474  0.73260554    0
[39,]  0.124633011 -0.409992097 -1.19367551    0
[40,] -1.316249284 -0.512163879  0.01219441    0
[41,] -0.163634803  0.417964855  0.25865821    0
[42,] -0.043283091  0.069406191 -0.56658483    0
[43,] -0.082421232  0.544476341 -1.86382440    0
[44,]  0.064329909  0.658500070  0.45694699    0
[45,] -0.109711281  0.309261530  0.38999748    0
[46,] -1.089721044  0.063412584  0.78353388    0
[47,] -0.250781352  0.003100711 -0.70414687    0
[48,]  0.900169506  1.711076776 -0.76391730    0
[49,] -0.511458914  0.126861241 -0.46093136    0
[50,] -0.323801301  0.521744246 -0.22133175    0
[51,] -0.714553347  0.043098274  0.95102863    1
[52,] -0.657983097 -0.069797457  2.17581421    1
[53,] -1.988621295  0.655608053  0.12514597    1
[54,] -0.466060583 -0.771850195 -1.31781963    1
[55,] -1.799378791  0.615592939 -0.41107497    1
[56,] -1.635055278 -0.106992240 -0.91049284    1
[57,] -0.439320739 -0.862119472  2.68037039    1
[58,] -0.344411646  0.214741684  1.78221897    1
[59,]  1.587177338  0.870120960 -0.92760444    1
[60,]  0.044137789 -0.418535841 -1.62097205    1
[61,] -1.261901384 -0.730632905 -0.97874984    1
[62,]  1.083673881 -0.614158095  1.75434843    1
[63,]  0.011182348 -0.073357939 -1.87754717    1
[64,]  1.597263131 -0.733150889 -0.07609164    1
[65,] -0.781141645 -0.281393370 -1.25417224    1
[66,] -1.105723187 -1.443988372  0.38815786    1
[67,] -1.319961233 -0.555837727 -1.82070294    1
[68,] -0.057970029  0.038941667  1.37832279    1
[69,] -0.201835826 -0.128705405 -2.87219888    1
[70,]  0.829776650 -0.507807719  1.73389228    1
[71,]  1.336833430  1.294808172 -0.97271846    1
[72,] -2.245847674  0.765687516  1.23207488    1
[73,]  0.491404054 -1.402699216 -1.36507482    1
[74,]  2.161288331 -0.836720586  0.66923627    1
[75,] -0.939611574  0.644159298 -0.14703076    1
[76,] -1.038682762  1.324420811 -1.47877524    1
[77,]  1.513246799  0.209551850 -2.85924423    1
[78,] -0.103030043 -2.024792765  0.85592202    1
[79,] -0.614434341  0.390238279 -1.97790651    1
[80,]  0.081553022  0.012107777  1.08902738    1
[81,] -1.079804815 -0.672837857 -0.87501379    1
[82,] -0.106635282  0.962170535  1.72202461    1
[83,]  0.117909511  0.963240662  1.51280355    1
[84,] -0.751677019 -0.164707089  2.44705079    1
[85,]  0.033618418  0.100405815  2.40540301    1
[86,]  0.707292503 -0.838891319  1.71764188    1
[87,] -2.258572536  0.646549697 -1.38443621    1
[88,]  0.292792587  1.775795910  1.24260018    1
[89,] -0.631156807  0.610315001  1.70136728    1
[90,]  0.856936288  0.957931902  1.18602507    1
[91,]  1.363509624  0.724759354 -1.66627239    1
[92,]  0.356342817 -0.533568494  1.62534786    1
[93,]  1.098360857  0.047051381 -2.12596874    1
[94,] -1.096824864  1.486267502  1.10114739    1
[95,] -0.808457036 -1.902940419  1.66578344    1
[96,] -0.010112743  0.393770134  2.36666104    1
[97,]  0.961733089  1.862251301  1.22057417    1
[98,] -0.464968904 -1.683552154 -0.33392853    1
[99,]  0.843003937 -0.002293988 -1.56387066    1
[100,]  0.964684936 -0.315617936  1.73101780    1


[Result]
LOO errors:
1. kNN : 28/100
2. NCA-PCV : 28/100
-> 40 mins of computation and no improvement at all....

Note: two classifiers do not give the same predictions on all cases, though their overall error rates are the same.
